ID,Facility Name,County,Hospital Type,Star Rating,No of Surveys,Response Rate,Overall Rating
050424,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Acute Care Hospital,4,3110,41,5
140103,ST BERNARD HOSPITAL,COOK,Acute Care Hospital,1,264,6,2
100051,SOUTH LAKE HOSPITAL,LAKE,Acute Care Hospital,2,1382,20,2
040062,MERCY HOSPITAL FORT SMITH,SEBASTIAN,Acute Care Hospital,3,2506,35,3
440048,BAPTIST MEMORIAL HOSPITAL,SHELBY,Acute Care Hospital,2,1799,18,2
450011,ST JOSEPH REGIONAL HEALTH CENTER,BRAZOS,Acute Care Hospital,3,1379,24,3
151317,GREENE COUNTY GENERAL HOSPITAL,GREENE,Critical Access Hospital,3,114,22,3
061327,SOUTHWEST MEMORIAL HOSPITAL,MONTEZUMA,Critical Access Hospital,4,247,34,3
490057,SENTARA GENERAL HOSPITAL,VIRGINIA BEACH,Acute Care Hospital,4,619,32,3
110215,PIEDMONT FAYETTE HOSPITAL,FAYETTE,Acute Care Hospital,2,1714,21,2
050704,MISSION COMMUNITY HOSPITAL,LOS ANGELES,Acute Care Hospital,3,241,14,3
100296,DOCTORS HOSPITAL,MIAMI-DADE,Acute Care Hospital,4,393,24,3
440003,SUMNER REGIONAL MEDICAL CENTER,SUMNER,Acute Care Hospital,4,680,35,2
501339,WHIDBEY GENERAL HOSPITAL,ISLAND,Critical Access Hospital,3,389,29,3
050116,NORTHRIDGE MEDICAL CENTER,LOS ANGELES,Acute Care Hospital,3,1110,20,2
